Run	BioSample	AvgSpotLen	Bases	Bytes	DONOR_AGE	Experiment	gender	GEO_Accession	inferred_cell_type	create_date	version	Sample Name
"SRR3562210"	"SAMN05159684"	127	"205.54 M"	"79.52 Mb"	21	"SRX1787822"	"male"	"GSM2171880"	"alpha"	"2016-05-2021:39:00Z"	1	"GSM2171880"
"SRR3562211"	"SAMN05159685"	128	"179.14 M"	"68.12 Mb"	21	"SRX1787823"	"male"	"GSM2171881"	"alpha"	"2016-05-2021:39:00Z"	1	"GSM2171881"
"SRR3562212"	"SAMN05159686"	128	"69.57 M"	"24.37 Mb"	21	"SRX1787824"	"male"	"GSM2171882"	"acinar"	"2016-05-2021:38:00Z"	1	"GSM2171882"
"SRR3562213"	"SAMN05159687"	127	"195.50 M"	"74.97 Mb"	21	"SRX1787825"	"male"	"GSM2171883"	"alpha"	"2016-05-2021:39:00Z"	1	"GSM2171883"
"SRR3562214"	"SAMN05159688"	128	"140.41 M"	"53.14 Mb"	21	"SRX1787826"	"male"	"GSM2171884"	"alpha"	"2016-05-2021:38:00Z"	1	"GSM2171884"
"SRR3562215"	"SAMN05159689"	128	"194.92 M"	"74.54 Mb"	21	"SRX1787827"	"male"	"GSM2171885"	"alpha"	"2016-05-2021:39:00Z"	1	"GSM2171885"
"SRR3562216"	"SAMN05159690"	128	"198.51 M"	"72.28 Mb"	21	"SRX1787828"	"male"	"GSM2171886"	"unsure"	"2016-05-2021:39:00Z"	1	"GSM2171886"
"SRR3562217"	"SAMN05159691"	127	"100.29 M"	"40.37 Mb"	21	"SRX1787829"	"male"	"GSM2171887"	"unsure"	"2016-05-2021:39:00Z"	1	"GSM2171887"
"SRR3562218"	"SAMN05159692"	128	"98.48 M"	"34.15 Mb"	21	"SRX1787830"	"male"	"GSM2171888"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171888"
"SRR3562219"	"SAMN05159693"	128	"71.22 M"	"25.12 Mb"	21	"SRX1787831"	"male"	"GSM2171889"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171889"
"SRR3562220"	"SAMN05159694"	128	"84.43 M"	"29.45 Mb"	21	"SRX1787832"	"male"	"GSM2171890"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171890"
"SRR3562221"	"SAMN05159695"	128	"54.20 M"	"19.02 Mb"	21	"SRX1787833"	"male"	"GSM2171891"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171891"
"SRR3562222"	"SAMN05159696"	127	"150.33 M"	"57.26 Mb"	21	"SRX1787834"	"male"	"GSM2171892"	"unsure"	"2016-05-2021:39:00Z"	1	"GSM2171892"
"SRR3562223"	"SAMN05159697"	128	"86.11 M"	"30.18 Mb"	21	"SRX1787835"	"male"	"GSM2171893"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171893"
"SRR3562224"	"SAMN05159698"	128	"37.71 M"	"13.60 Mb"	21	"SRX1787836"	"male"	"GSM2171894"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171894"
"SRR3562225"	"SAMN05159699"	127	"174.95 M"	"66.79 Mb"	21	"SRX1787837"	"male"	"GSM2171895"	"alpha"	"2016-05-2021:40:00Z"	1	"GSM2171895"
"SRR3562226"	"SAMN05159700"	128	"98.29 M"	"34.42 Mb"	21	"SRX1787838"	"male"	"GSM2171896"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171896"
"SRR3562227"	"SAMN05159701"	128	"53.69 M"	"18.73 Mb"	21	"SRX1787839"	"male"	"GSM2171897"	"acinar"	"2016-05-2021:39:00Z"	1	"GSM2171897"
